Sample;Tumor
TCGA-A2-A0T5;T2
TCGA-A2-A0T6;T3
TCGA-BH-A0HI;T1
TCGA-A2-A0T7;T2
TCGA-BH-A0BJ;T2
TCGA-BH-A0H7;T1
TCGA-BH-A0HF;T1
TCGA-BH-A0EB;T1
TCGA-BH-A0H6;T1
TCGA-A2-A0YD;T3
TCGA-BH-A0HB;T1
TCGA-BH-A0HX;T2
TCGA-AO-A12H;T2
TCGA-E2-A10E;T1
TCGA-A2-A0D3;T1
TCGA-E2-A10F;T2
TCGA-AO-A03V;T1
TCGA-A2-A0EW;T1
TCGA-BH-A0GY;T2
TCGA-A2-A0EV;T1
TCGA-BH-A0BC;T2
TCGA-A2-A0YC;T2
TCGA-A2-A0EU;T1
TCGA-A2-A0ET;T2
TCGA-A2-A04Y;T2
TCGA-BH-A0HQ;T2
TCGA-A2-A0ES;T2
TCGA-BH-A0BA;T3
TCGA-E2-A10B;T2
TCGA-BH-A0B1;T2
TCGA-BH-A0DH;T2
TCGA-BH-A0B4;T2
TCGA-BH-A0H9;T2
TCGA-AO-A0J9;T2
TCGA-AO-A12G;T2
TCGA-A2-A0SY;T3
TCGA-BH-A0E7;T2
TCGA-AO-A03M;T1
TCGA-BH-A0BV;T2
TCGA-BH-A0B8;T1
TCGA-A2-A0CZ;T2
TCGA-A2-A0SU;T2
TCGA-AO-A12E;T3
TCGA-E2-A106;T1
TCGA-A2-A0CV;T2
TCGA-AO-A12C;T2
TCGA-B6-A0RG;T3
TCGA-A2-A0CS;T4
TCGA-A2-A0EO;T1
TCGA-A2-A0CQ;T1
TCGA-A2-A0EN;T2
TCGA-AO-A12A;T2
TCGA-A2-A0CP;T1
TCGA-AO-A126;T2
TCGA-AO-A125;T2
TCGA-A2-A0EM;T1
TCGA-A2-A04N;T1
TCGA-AQ-A04L;T2
TCGA-B6-A0IO;T2
TCGA-B6-A0IP;T1
TCGA-B6-A0WZ;T2
TCGA-B6-A0I5;T2
TCGA-B6-A0RV;T3
TCGA-B6-A0RO;T4
TCGA-B6-A0RN;T1
TCGA-B6-A0WT;T2
TCGA-B6-A0IA;T2
TCGA-B6-A0RI;T4
TCGA-A1-A0SE;T1
TCGA-A2-A0EX;T3
TCGA-AO-A0JJ;T2
TCGA-E2-A105;T2
TCGA-A1-A0SD;T2
TCGA-A1-A0SH;T2
TCGA-A1-A0SJ;T3
TCGA-A8-A06P;T1
TCGA-A8-A06T;T3
TCGA-A8-A06Y;T2
TCGA-A8-A07E;T4
TCGA-A8-A07F;T2
TCGA-A8-A07G;T1
TCGA-A8-A07J;T2
TCGA-A8-A07P;T2
TCGA-A8-A083;T3
TCGA-A8-A086;T1
TCGA-A8-A08A;T1
TCGA-A8-A08C;T2
TCGA-A8-A08O;T2
TCGA-A8-A08T;T2
TCGA-A8-A08Z;T4
TCGA-A8-A090;T2
TCGA-A8-A091;T2
TCGA-A8-A093;T2
TCGA-A8-A099;T4
TCGA-A8-A09A;T2
TCGA-A8-A09B;T4
TCGA-A8-A09T;T1
TCGA-A8-A09V;T2
TCGA-A8-A0A1;T2
TCGA-A8-A0A2;T2
TCGA-A8-A0A4;T2
TCGA-A8-A0A6;T2
TCGA-A8-A0AD;T1
TCGA-AN-A03X;T2
TCGA-AN-A046;T2
TCGA-AN-A04A;T2
TCGA-AN-A0FD;T2
TCGA-AN-A0FN;T1
TCGA-AN-A0FS;T1
TCGA-AN-A0FT;T2
TCGA-AN-A0FW;T2
TCGA-AN-A0FZ;T2
TCGA-AN-A0XL;T2
TCGA-AN-A0XN;T2
TCGA-AN-A0XO;T2
TCGA-AN-A0XP;T2
TCGA-AN-A0XS;T2
TCGA-AN-A0XT;T2
TCGA-AN-A0XV;T2
TCGA-AR-A0TW;T3
TCGA-AR-A1AK;T1
TCGA-AR-A1AL;T3
TCGA-AR-A1AN;T2
TCGA-AR-A1AP;T1
TCGA-AR-A1AS;T2
TCGA-AR-A1AU;T2
TCGA-AR-A1AW;T2
TCGA-AR-A1AX;T1
TCGA-BH-A0AZ;T3
TCGA-BH-A0B0;T1
TCGA-BH-A0BM;T2
TCGA-BH-A0BO;T1
TCGA-BH-A0BP;T1
TCGA-BH-A0BQ;T1
TCGA-BH-A0BR;T1
TCGA-BH-A0BS;T3
TCGA-BH-A0BT;T1
TCGA-BH-A0C1;T3
TCGA-BH-A0DE;T2
TCGA-BH-A0DG;T2
TCGA-BH-A0DI;T2
TCGA-BH-A0DO;T1
TCGA-BH-A0DT;T1
TCGA-BH-A0DX;T1
TCGA-BH-A0E9;T2
TCGA-BH-A0EI;T1
TCGA-BH-A0H3;T1
TCGA-BH-A0H5;T1
TCGA-BH-A0HA;T1
TCGA-BH-A0W4;T2
TCGA-BH-A0W5;T1
TCGA-BH-A0W7;T1
TCGA-BH-A18H;T1
TCGA-BH-A18I;T1
TCGA-C8-A12N;T2
TCGA-C8-A12O;T2
TCGA-C8-A12Y;T2
TCGA-C8-A132;T2
TCGA-C8-A133;T3
TCGA-C8-A1HI;T2
TCGA-D8-A141;T1
TCGA-E2-A14Q;T2
TCGA-E2-A14T;T2
TCGA-E2-A14Z;T1
TCGA-E2-A153;T1
TCGA-E2-A154;T1
TCGA-E2-A156;T1
TCGA-E2-A15C;T1
TCGA-E2-A15D;T2
TCGA-E2-A15E;T1
TCGA-E2-A15F;T2
TCGA-E2-A15G;T2
TCGA-E2-A15H;T1
TCGA-E2-A15I;T2
TCGA-E2-A15J;T1
TCGA-E2-A15O;T2
TCGA-E2-A15P;T1
TCGA-E2-A15R;T1
TCGA-E2-A1B1;T2
TCGA-E2-A1B4;T1
TCGA-E2-A1B6;T2
TCGA-E2-A1BC;T1
TCGA-E2-A1BD;T2
TCGA-A2-A0SV;T2
TCGA-AO-A03O;T2
TCGA-A2-A0SW;T2
TCGA-B6-A0WW;T2
TCGA-BH-A18J;T4
TCGA-BH-A18L;T3
TCGA-A8-A06X;T3
TCGA-B6-A0IC;T2
TCGA-BH-A18U;T2
TCGA-BH-A1EW;T2
TCGA-AR-A0TY;T2
TCGA-B6-A0X5;T2
TCGA-B6-A0WV;T2
TCGA-B6-A0RL;T2
TCGA-AR-A0U2;T2
TCGA-B6-A0IB;T3
TCGA-AO-A0J7;T2
TCGA-AO-A0J3;T2
TCGA-D8-A13Y;T1
TCGA-A7-A13F;T3
TCGA-BH-A0HU;T1
TCGA-D8-A140;T2
TCGA-A7-A0CJ;T2
TCGA-AQ-A04H;T2
TCGA-BH-A0H0;T1
TCGA-BH-A0BD;T1
TCGA-A2-A0T3;T1
TCGA-A2-A0T4;T2
TCGA-A2-A0YH;T2
TCGA-A2-A0YG;T2
TCGA-A2-A0EY;T2
TCGA-A2-A0D4;T2
TCGA-BH-A0AY;T2
TCGA-E2-A107;T3
TCGA-AO-A0JI;T1
TCGA-E2-A10C;T2
TCGA-E2-A10A;T3
TCGA-BH-A0C0;T1
TCGA-E2-A109;T2
TCGA-AO-A0JC;T2
TCGA-BH-A0HW;T1
TCGA-AO-A0JD;T3
TCGA-AO-A0JM;T2
TCGA-A2-A0CW;T2
TCGA-A2-A0ER;T1
TCGA-A2-A0CT;T2
TCGA-AO-A12B;T2
TCGA-A2-A04R;T1
TCGA-B6-A0IM;T3
TCGA-AO-A03P;T2
TCGA-A1-A0SM;T2
TCGA-A8-A06N;T4
TCGA-A8-A06O;T1
TCGA-A8-A06Q;T3
TCGA-A8-A06R;T2
TCGA-A8-A06Z;T3
TCGA-A8-A079;T4
TCGA-A8-A07L;T3
TCGA-A8-A07S;T2
TCGA-A8-A07W;T2
TCGA-A8-A07Z;T2
TCGA-A8-A082;T2
TCGA-A8-A084;T2
TCGA-A8-A085;T2
TCGA-A8-A08F;T2
TCGA-A8-A08G;T2
TCGA-A8-A08I;T2
TCGA-A8-A08P;T2
TCGA-A8-A095;T1
TCGA-A8-A096;T2
TCGA-A8-A097;T2
TCGA-A8-A09C;T2
TCGA-A8-A09D;T2
TCGA-A8-A09I;T2
TCGA-A8-A09M;T2
TCGA-A8-A09N;T2
TCGA-A8-A09Q;T4
TCGA-A8-A09R;T2
TCGA-A8-A09W;T2
TCGA-A8-A09Z;T3
TCGA-A8-A0A9;T2
TCGA-A8-A0AB;T2
TCGA-AN-A03Y;T2
TCGA-AN-A041;T2
TCGA-AN-A049;T2
TCGA-AN-A0AJ;T3
TCGA-AN-A0AK;T2
TCGA-AN-A0AM;T2
TCGA-AN-A0AS;T2
TCGA-AN-A0FF;T1
TCGA-AN-A0FK;T4
TCGA-AN-A0FY;T1
TCGA-AN-A0XR;T2
TCGA-AN-A0XW;T2
TCGA-AR-A0TQ;T3
TCGA-AR-A0TT;T2
TCGA-AR-A0TV;T2
TCGA-AR-A0TZ;T2
TCGA-AR-A0U3;T2
TCGA-AR-A1AV;T2
TCGA-BH-A0AU;T2
TCGA-BH-A0B5;T2
TCGA-BH-A0BF;T2
TCGA-BH-A0BZ;T3
TCGA-BH-A0C3;T1
TCGA-BH-A0C7;T2
TCGA-BH-A0DD;T2
TCGA-BH-A0W3;T1
TCGA-BH-A18F;T2
TCGA-C8-A12M;T2
TCGA-C8-A12U;T2
TCGA-C8-A12W;T4
TCGA-C8-A12X;T2
TCGA-C8-A1HG;T2
TCGA-C8-A1HL;T3
TCGA-C8-A1HM;T2
TCGA-C8-A1HN;T2
TCGA-E2-A14O;T3
TCGA-E2-A14S;T1
TCGA-E2-A14W;T2
TCGA-E2-A155;T2
TCGA-E2-A15A;T2
TCGA-E2-A15K;T2
TCGA-E2-A15L;T2
TCGA-E2-A15M;T2
TCGA-E2-A15S;T2
TCGA-E2-A15T;T2
TCGA-AO-A03U;T1
TCGA-B6-A0IE;TX
TCGA-A2-A0YK;T2
TCGA-E2-A108;T2
TCGA-AO-A0JB;T3
TCGA-AO-A03R;T2
TCGA-AO-A03T;T2
TCGA-AR-A1AO;T1
TCGA-A2-A0YT;T4
TCGA-AQ-A0Y5;T2
TCGA-EW-A1P8;T2
TCGA-E2-A1LK;T3
TCGA-BH-A1EY;T2
TCGA-BH-A1F8;T4
TCGA-BH-A1F2;T4
TCGA-BH-A1FD;T1
TCGA-BH-A1FH;T2
TCGA-BH-A203;NA
TCGA-BH-A1FM;T2
TCGA-BH-A1EX;T2
TCGA-BH-A1FL;T2
TCGA-BH-A208;NA
TCGA-GM-A2D9;NA
TCGA-BH-A1FJ;T3
TCGA-BH-A1EN;T2
TCGA-BH-A1FN;T2
TCGA-BH-A1FU;T1
TCGA-BH-A1FE;T2
TCGA-BH-A204;NA
TCGA-BH-A1F5;NA
TCGA-AR-A256;T2
TCGA-BH-A1F6;NA
TCGA-BH-A1FC;T1
TCGA-BH-A1FB;T2
TCGA-BH-A1FG;T1
TCGA-BH-A209;NA
TCGA-BH-A1FR;T4
TCGA-AO-A1KS;T2
TCGA-A7-A13G;T2
TCGA-D8-A1JS;T1
TCGA-A7-A0DC;T1
TCGA-D8-A1JT;T2
TCGA-A7-A26E;T3
TCGA-D8-A1JH;T1
TCGA-D8-A1JU;T1
TCGA-AO-A1KO;T3
TCGA-AO-A1KT;T1
TCGA-AO-A0J5;T4
TCGA-B6-A1KC;T2
TCGA-AO-A1KQ;T4
TCGA-B6-A1KI;T1
TCGA-AO-A1KP;T1
TCGA-B6-A1KF;T2
TCGA-B6-A1KN;T4
TCGA-D8-A1XO;T2
TCGA-D8-A1XT;T1
TCGA-A1-A0SP;T2
TCGA-D8-A1J8;T2
TCGA-D8-A1JF;T1
TCGA-D8-A1JG;T2
TCGA-D8-A1XS;T2
TCGA-A1-A0SB;T1
TCGA-A1-A0SF;T2
TCGA-A1-A0SG;T2
TCGA-A1-A0SI;T2
TCGA-A1-A0SN;T1
TCGA-A1-A0SQ;T2
TCGA-A2-A1FV;T3
TCGA-A2-A1FW;T3
TCGA-A2-A1FX;T3
TCGA-A2-A1FZ;T2
TCGA-A2-A1G0;T2
TCGA-A2-A1G1;T2
TCGA-A2-A1G4;T3
TCGA-A2-A1G6;T2
TCGA-A2-A259;T1
TCGA-A2-A25A;T2
TCGA-A2-A25B;T2
TCGA-A2-A25C;T2
TCGA-A2-A25D;T2
TCGA-A2-A25E;T2
TCGA-A2-A25F;T2
TCGA-A7-A26F;T1
TCGA-A7-A26G;T2
TCGA-A7-A26H;T1
TCGA-A7-A26I;T2
TCGA-A7-A26J;T2
TCGA-A8-A08S;T1
TCGA-A8-A09E;T4
TCGA-A8-A09K;T1
TCGA-AC-A23C;T2
TCGA-AC-A23E;T2
TCGA-AC-A23H;T2
TCGA-AO-A1KR;NA
TCGA-AQ-A1H2;T2
TCGA-AQ-A1H3;T2
TCGA-AR-A24H;T2
TCGA-AR-A24K;T2
TCGA-AR-A24L;T2
TCGA-AR-A24M;T2
TCGA-AR-A24N;T1
TCGA-AR-A24O;T3
TCGA-AR-A24P;T1
TCGA-AR-A24Q;T3
TCGA-AR-A24R;T1
TCGA-AR-A24S;T1
TCGA-AR-A24T;T3
TCGA-AR-A24U;T1
TCGA-AR-A24V;T2
TCGA-AR-A24X;T2
TCGA-AR-A24Z;T2
TCGA-AR-A250;T2
TCGA-AR-A251;T2
TCGA-AR-A252;T1
TCGA-AR-A254;T2
TCGA-AR-A255;T1
TCGA-BH-A0B2;T1
TCGA-BH-A0DV;T2
TCGA-BH-A201;NA
TCGA-BH-A202;NA
TCGA-BH-A28Q;NA
TCGA-C8-A1HE;T2
TCGA-C8-A1HJ;T2
TCGA-C8-A1HK;T2
TCGA-C8-A1HO;T3
TCGA-C8-A26V;T3
TCGA-C8-A26W;T2
TCGA-C8-A26X;T1
TCGA-C8-A26Y;T2
TCGA-C8-A26Z;T2
TCGA-C8-A273;T2
TCGA-C8-A274;T2
TCGA-C8-A275;T1
TCGA-C8-A278;T2
TCGA-C8-A27A;T2
TCGA-C8-A27B;T3
TCGA-D8-A146;T2
TCGA-D8-A1J9;T1
TCGA-D8-A1JA;T4
TCGA-D8-A1JB;T2
TCGA-D8-A1JC;T2
TCGA-D8-A1JD;T2
TCGA-D8-A1JE;T1
TCGA-D8-A1JI;T1
TCGA-D8-A1JJ;T2
TCGA-D8-A1JK;T2
TCGA-D8-A1JL;T2
TCGA-D8-A1JM;T2
TCGA-D8-A1JN;T3
TCGA-D8-A1JP;T1
TCGA-D8-A1X5;T2
TCGA-D8-A1X6;T3
TCGA-D8-A1X7;T2
TCGA-D8-A1X8;T1
TCGA-D8-A1X9;T2
TCGA-D8-A1XA;T1
TCGA-D8-A1XB;T2
TCGA-D8-A1XC;T4
TCGA-D8-A1XD;T1
TCGA-D8-A1XF;T2
TCGA-D8-A1XG;T4
TCGA-D8-A1XJ;T3
TCGA-D8-A1XK;T2
TCGA-D8-A1XL;T2
TCGA-D8-A1XM;T1
TCGA-D8-A1XQ;T2
TCGA-D8-A1XR;T2
TCGA-D8-A1XU;T1
TCGA-D8-A1XV;T2
TCGA-D8-A1XW;T2
TCGA-D8-A1XY;T2
