Sample,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
TCGAA2A0YL,0.2199699,0.16876514,0.3305339,0.230774,0.33371502,0.236982,0.2709977,0.0766471,0.24346948,0.20335346,0.39910543,0.41298872,0.31049725,0.1474495,0.29356843,0.12642588,0.4649103,0.21874614,0.28671205,0.3150592,0.51656264,0.4563306,0.11802311,0.18922356,0.07167968,0.12886064,0.36456713,0.38531536,0.42066675,0.32141706,0.10141425,0.24235585,0.19211924,0.24986905,0.16947305,0.111820534,0.19075574,0.110841215,0.15917793,0.2451987,0.16892707,0.19098714,0.35801947,0.17390855,0.2744762,0.13587084,0.07514894,0.22614059,0.20566261,0.45347372,0.30375376,0.24184065,0.36525685,0.25439554,0.39272946,0.41724497,0.5282514,0.49962646,0.10424189,0.35240218,0.09919723,0.30171865,0.40245527,0.21163926,0.14408201,0.21114314,0.28938276,0.235756,0.12041284,0.37982076,0.120274164,0.07293361,0.24428394,0.22744735,0.29823175,0.19817463,0.3959269,0.1879876,0.29254553,0.34684685,0.38141307,0.25918627,0.2974851,0.3496654,0.28430778,0.08834179,0.06323216,0.27714312,0.17471093,0.27865684,0.18709277,0.21413201,0.12683733,0.26106513,0.24812105,0.21102636,0.2448169,0.35448495,0.3396487,0.1651062
TCGAA7A0CE,0.15390925,0.2988663,0.10521637,0.21331897,0.3224838,0.18082866,0.29244998,0.27801222,0.4579629,0.5403004,0.35533231,0.2381019,0.16715862,0.18240558,0.2806598,0.082214855,0.21233898,0.4663689,0.17139453,0.09456001,0.16340971,0.23777997,0.20936929,0.4094912,0.41549543,0.49690717,0.15773153,0.2936638,0.11965879,0.21475606,0.09096149,0.3157897,0.37118635,0.40869418,0.08917164,0.26796135,0.28778362,0.2874569,0.2712767,0.23046781,0.3105294,0.057299986,0.13927685,0.3062918,0.20246167,0.52714527,0.38631672,0.34795454,0.13817632,0.23782411,0.48424163,0.38240778,0.13192402,0.04093427,0.12089504,0.31597966,0.33389574,0.18875886,0.16858086,0.13665374,0.046819936,0.19121629,0.578263,0.139093,0.1815778,0.4759485,0.054301936,0.09869811,0.27354485,0.2164916,0.1015274,0.17161086,0.3322487,0.12169693,0.06203515,0.22037679,0.37484777,0.17177963,0.16658953,0.27483606,0.31334302,0.35967863,0.43172854,0.12799335,0.19956964,0.25148654,0.19963151,0.30509648,0.47424948,0.105722934,0.026896324,0.2740606,0.18990335,0.15126772,0.27284834,0.3459337,0.0810062,0.42272866,0.29211578,0.31967208
TCGAA8A06Z,0.33088133,0.108244225,0.026122302,0.4249395,0.13240367,0.3890401,0.22566359,0.3048869,0.1250718,0.061216246,0.084240705,0.1451398,0.31565467,0.2559055,0.38757527,0.34370843,0.48009726,0.32017756,0.36609554,0.413413,0.12369469,0.056099772,0.15549746,0.2599039,0.11694142,0.3182574,0.15351312,0.29210812,0.2959743,0.23544373,0.20367646,0.23224814,0.44777077,0.19582051,0.21784243,0.3345948,0.2796507,0.543158,0.1061954,0.12909853,0.09712202,0.35035336,0.04065325,0.2428079,0.35387373,0.117729485,0.252055,0.04966583,0.18050417,0.4137493,0.2088165,0.15869007,0.31207365,0.47914803,0.44020826,0.053346403,0.3346511,0.07285081,0.244231,0.08945407,0.35135034,0.07824223,0.3776455,0.23923317,0.10210094,0.122310854,0.024763178,0.10763797,0.5095399,0.04653178,0.21988763,0.07312246,0.37016553,0.17501818,0.1065719,0.37743628,0.3184016,0.1525541,0.09752709,0.040795147,0.05769261,0.22060364,0.46477175,0.29287127,0.22430733,0.08522697,0.22952627,0.13872345,0.3849965,0.13425145,0.13384478,0.19535147,0.30469573,0.28368056,0.28600115,0.09965435,0.05947993,0.5461412,0.32566583,0.22826432
TCGAA8A07I,0.29644227,0.105666295,0.1849404,0.28190506,0.13588694,0.09598103,0.20229945,0.57076544,0.44370025,0.18196483,0.11787676,0.5758625,0.16418087,0.18916148,0.39338607,0.16961026,0.06855408,0.49881506,0.4519772,0.08673173,0.3945886,0.38473076,0.13881177,0.2539242,0.2673212,0.24275675,0.33865094,0.14988327,0.20729932,0.23620403,0.29526415,0.35401154,0.568227,0.39455107,0.18214531,0.097252056,0.1807338,0.35158342,0.26830417,0.3229855,0.29187775,0.2791043,0.305183,0.469055,0.16415755,0.30736023,0.29823688,0.26783115,0.19796108,0.261619,0.044960473,0.5457317,0.08086087,0.20936069,0.47567526,0.15440056,0.1250217,0.35538262,0.10712633,0.3594979,0.26879358,0.25677767,0.061953466,0.31954706,0.15686947,0.06360957,0.12252417,0.13514404,0.19393173,0.35130385,0.17377114,0.29697233,0.21732478,0.33674365,0.24856104,0.062258504,0.31451595,0.4105113,0.28799033,0.07441026,0.21731794,0.41034985,0.09750275,0.0728198,0.28949934,0.21872327,0.2959212,0.34040558,0.18523075,0.2797789,0.21657474,0.43425155,0.45659053,0.12447673,0.28358424,0.18376832,0.1796162,0.15964273,0.18681729,0.19600907
TCGAA8A07W,0.3872127,0.24531579,0.06748642,0.32157052,0.051209945,0.38602597,0.3472914,0.33688506,0.18819407,0.14355789,0.17661607,0.13805681,0.49107024,0.53354436,0.5487503,0.15100831,0.2469922,0.36208236,0.16284901,0.2518734,0.10815357,0.30317315,0.14956072,0.19880334,0.07307346,0.22382702,0.37978044,0.3704759,0.20083436,0.30732405,0.31852874,0.33374488,0.15879285,0.21537662,0.31720716,0.0778267,0.42822498,0.23953494,0.31961012,0.29714477,0.14801596,0.5664145,0.095436096,0.3343321,0.06700729,0.38389128,0.28732803,0.2268053,0.45344436,0.35994825,0.24049246,0.33986357,0.06911793,0.2513546,0.35305586,0.09988794,0.42906106,0.14071202,0.3457074,0.4341192,0.26602638,0.37185222,0.0736251,0.41529024,0.0701064,0.14379232,0.19895218,0.2758582,0.34864497,0.14739762,0.4318978,0.066434376,0.12934197,0.16479781,0.29644734,0.24567528,0.1895121,0.28503913,0.077086136,0.26942152,0.16542058,0.082775585,0.30417526,0.22451761,0.28032145,0.064200506,0.33574104,0.1430288,0.3647633,0.046206176,0.36303374,0.15031925,0.56748104,0.085728034,0.35055414,0.3451566,0.05322188,0.66962624,0.3027023,0.29975027
TCGAA8A081,0.36493695,0.26637828,0.03668629,0.30707914,0.15885498,0.48295397,0.22795093,0.1366452,0.29372066,0.24342111,0.06012317,0.21355689,0.44691086,0.54088444,0.50264156,0.31012762,0.06829373,0.17124504,0.08031301,0.4415933,0.050323527,0.16024761,0.24466428,0.5705633,0.15669638,0.14579943,0.38265565,0.34400895,0.21163984,0.26960477,0.16917971,0.42940336,0.14066562,0.17309484,0.24226841,0.18880916,0.056305278,0.44823623,0.34340113,0.41958296,0.34943813,0.41485435,0.16958407,0.2839672,0.17264496,0.21662109,0.16627772,0.36923978,0.09245509,0.1654188,0.21061221,0.29618627,0.14514151,0.24872507,0.31942987,0.048424345,0.4068408,0.27520734,0.36038658,0.20519881,0.5135271,0.20756693,0.051892526,0.3998816,0.32271624,0.29420203,0.17455535,0.25720862,0.33045873,0.07482017,0.55486983,0.047164366,0.57412046,0.33334434,0.29353708,0.3857003,0.42850822,0.2603798,0.35423523,0.13698304,0.13556135,0.14904508,0.44474402,0.19881561,0.42940223,0.22711399,0.40767118,0.30326328,0.49893385,0.30861863,0.15488172,0.15570669,0.36611685,0.10821981,0.19701183,0.1688228,0.15159346,0.54091954,0.20930544,0.5389385
TCGAA8A082,0.33330506,0.4230582,0.31901202,0.45183378,0.09617454,0.5304142,0.33797014,0.4652685,0.19238538,0.18357155,0.41701227,0.3182323,0.45127428,0.37212175,0.4566364,0.33745456,0.25822714,0.33409792,0.09380649,0.22633174,0.23216677,0.06369375,0.25404006,0.2934256,0.1648837,0.061773486,0.14848426,0.3019025,0.07148569,0.26303905,0.08585079,0.15189108,0.18900037,0.09881838,0.19928926,0.10312536,0.18885107,0.37448353,0.348009,0.19359523,0.39759612,0.28564274,0.066806026,0.20572329,0.28671035,0.5147463,0.30754942,0.22217438,0.39390957,0.5425029,0.12993392,0.43167064,0.09910669,0.45417815,0.56595784,0.3622438,0.24659337,0.18918899,0.39240697,0.06506577,0.099796206,0.10381745,0.18385144,0.23459649,0.06386924,0.09993772,0.16266222,0.18544233,0.2881312,0.051794574,0.33777237,0.12369963,0.1077477,0.07663977,0.14757487,0.4282552,0.4631945,0.08461112,0.23670107,0.29545125,0.28852904,0.062767565,0.19371036,0.1963764,0.10114446,0.35275823,0.10665779,0.19844529,0.33569607,0.28529245,0.2582531,0.33525556,0.33822823,0.22106813,0.37786922,0.40984425,0.06300911,0.3501365,0.046088558,0.38300386
TCGAA8A083,0.30692288,0.044027507,0.1173272,0.23209162,0.059469357,0.08012874,0.16807392,0.337004,0.073701076,0.20773205,0.10889908,0.4850185,0.44159746,0.23597111,0.33013153,0.19333875,0.5190836,0.35350317,0.16807887,0.077906005,0.22647002,0.08028322,0.27278575,0.18577613,0.25963342,0.24081911,0.07123685,0.33651334,0.50001115,0.26930213,0.15942405,0.20953035,0.055227127,0.09185481,0.44183975,0.35316157,0.20086007,0.31683958,0.28077722,0.21937495,0.2023551,0.3881551,0.23397686,0.12951112,0.4003918,0.1992026,0.28777963,0.17906931,0.37944597,0.31537575,0.082211,0.37125772,0.35919923,0.29780352,0.27979264,0.14270544,0.05987848,0.22926971,0.29836202,0.054753684,0.21855703,0.28286192,0.199828,0.39251772,0.14040776,0.123845905,0.07522612,0.08845143,0.47600144,0.14383443,0.15663344,0.11107974,0.5183809,0.20771447,0.2889777,0.21524878,0.20785335,0.114096284,0.074822344,0.06396488,0.30867982,0.1403619,0.38505578,0.16422519,0.19651176,0.3369023,0.23122573,0.22824162,0.37747115,0.18247324,0.105673514,0.40191463,0.3557311,0.39169595,0.47152734,0.16568315,0.3759829,0.3226772,0.23905572,0.4096922
TCGAA8A08H,0.24613993,0.4106719,0.2451235,0.105994515,0.27892265,0.32301044,0.34215865,0.3192358,0.14466763,0.41054475,0.3083361,0.23728125,0.25781152,0.16044503,0.1916506,0.1031394,0.3416253,0.06683251,0.18174177,0.46137917,0.27739063,0.3640917,0.33523542,0.24511045,0.20512296,0.38142112,0.34141812,0.28576756,0.08834973,0.20726646,0.31373036,0.107308835,0.24218658,0.40822646,0.04000809,0.33912987,0.20026466,0.27815142,0.09508121,0.28111362,0.42797,0.23215827,0.29228422,0.24205917,0.13036583,0.18674333,0.08400288,0.11554804,0.19847241,0.28409177,0.36706463,0.20502864,0.31059435,0.33927724,0.24265659,0.074892536,0.38285494,0.4627331,0.1223551,0.40894914,0.16453035,0.11560526,0.3713039,0.30355537,0.33182234,0.3727948,0.22442265,0.14676052,0.2244423,0.44130495,0.0820819,0.25820887,0.25761226,0.09017193,0.24489325,0.07192205,0.26955226,0.31405777,0.06367842,0.23165844,0.1356231,0.2344234,0.29502106,0.25832486,0.30248877,0.05809644,0.22619288,0.56642586,0.12868151,0.21593517,0.39117318,0.19522858,0.11182405,0.29460657,0.4219834,0.495872,0.27031785,0.13580742,0.29077435,0.056682423
TCGAA8A08Z,0.1818611,0.24055764,0.16129571,0.27219516,0.32620767,0.15284379,0.4054515,0.29744232,0.28257075,0.22465456,0.3355214,0.51924914,0.4356056,0.12291429,0.21204409,0.07984717,0.26048386,0.62264913,0.4355963,0.10266095,0.23200642,0.44405448,0.18977669,0.29794362,0.1901353,0.26671332,0.39531526,0.12587179,0.27129537,0.16449982,0.08537471,0.28883195,0.47196236,0.2618472,0.30210507,0.09663111,0.29845887,0.09555773,0.12917772,0.2682982,0.24500138,0.16758746,0.34627736,0.3307227,0.24472031,0.2844025,0.16851716,0.33612803,0.30333373,0.18329427,0.08741592,0.2530802,0.24129444,0.31003672,0.29913154,0.25361133,0.10145944,0.07394987,0.28197965,0.097373426,0.29798973,0.13502397,0.33206525,0.138669,0.07174047,0.032311395,0.24661173,0.2911211,0.37595695,0.20071077,0.21946755,0.42490262,0.4252271,0.1537028,0.20784026,0.12173259,0.175981,0.14917344,0.24721983,0.31497115,0.33755946,0.200671,0.17706573,0.13151395,0.09625168,0.21562427,0.15416637,0.24273804,0.21842538,0.21122676,0.23469907,0.27307832,0.16222619,0.13404346,0.48656237,0.48253307,0.2387326,0.2852276,0.4504702,0.13790974
