epoch_10,epoch_20,epoch_30,epoch_40,epoch_50,epoch_60,epoch_70
STC2,NPY5R,MSMB,CYP2A7,PDE8B,HS6ST3,S100A7A
LOC253012,PNPLA3,CBLN2,S100A7A,TCN1,S100A7,SLC5A1
ZMAT4,FAM5C,SLC5A1,SLC6A4,FLT3,ABHD7,KCNC2
SYT1,SYT1,TUBAL3,ODZ2,AQP3,CP,SLC1A1
SIX1,CPB1,ACTN2,MUC16,SLC5A1,TCN1,S100A7
HOXC12,RNF128,SLC6A4,PDE8B,ST6GALNAC5,FUT9,EREG
KIAA0888,UGT2B10,SLC1A1,SLC5A1,KCNC2,ADAMTS19,CLIC6
OBP2A,ZMAT4,CALML3,SPESP1,COL2A1,SPESP1,PNMT
MAGEA1,COL6A6,SERPINA6,CALML3,PEG3,GJB5,LRP2
MGC45438,KLK12,LIN7A,KCNC2,CBLN2,DIO1,MAGEA1
SH3GL2,SOX2,AR_y,COL2A1,ABHD7,PNMT,GJB5
GSTM3,GALNT14,COL2A1,NKX2-2,GJB5,CYP4X1,SERPINA6
GFRA1,LOC253012,C21orf81,LOC253012,PNMT,SERPINA6,TCN1
RDHE2,FUT9,SYT1,SYT1,ATRNL1,KCNC2,PEG3
ATP6V0A4,GJB5,LOC253012,C12orf56,SERPINA6,GABRB3,HLA-DRB6
WT1,C21orf81,ZMAT4,UGT2B17,LOC253012,MAGEA1,MGC45438
SPESP1,RPESP,SLC9A2,HOXC13,MYBPC1,ATRNL1,IL20
ADIPOQ,ASCL1,GJB5,GDPD3,MUC16,UGT2B17,GABRB3
FAM5C,S100A7,EGFR_y,PEG3,C12orf56,PIGR,SLC9A2
HOXC13,ACTN2,S100A7,GABRB3,ECAT8,HLA-DRB6,CBLN2
PNLIPRP2,C10orf140,KCNC2,TUBAL3,SIX1,PEG3,COL2A1
KLK12,TMEM16C,PDE8B,GJB5,ADAMTS19,CBLN2,PIGR
PI16,EREG,NXPH1,ADAMTS19,NKX2-2,FLT3,CPB1
MS4A8B,ST6GALNAC5,AQP3,PTPRT,GABRB3,CPB1,SPESP1
IGFALS,LIN7A,PEG3,SLC1A1,S100A7,IL20,MUC16
